الاسم اللاتيني	رقم التسلسل	العلامة المسمارية
lu₈	038	𒌷
lu₉	295	𒉺
lub	355	𒈜
lubun	157	𒂲
lud	309	𒂁
lug	537	𒇻
lug₂	295	𒉺
luga₂	295	
lugal	151	𒈗
lugala	151	𒈗
lugud₂	483	𒆸
lugud₃	566b	𒈟
lugud₄	460n	𒇮
luh	321	𒈛
luhu	321	𒈛
lul	355	𒈜
lulim	421a	𒄎
lulima	421a	𒄎
lulu	355	𒈜
lum	565	𒈝
lum₂	449	𒅆
lum₃	309	𒂁
lum₄	435	
luma	565	𒈝
lumgi	215	𒋆
lumgi₂	224	𒋇
lumgi₃	225	𒋋
lumu	565	𒈝
lumu₃	309	𒂁
lun	295	𒉺
lunga	215	𒋆
lunga₂	224	𒋇
lunga₃	225	𒋋
lup	355	𒈜
lut	309	𒂁
luṭ	309	𒂁
lutu	309	𒂁
luṭu	309	𒂁
m	480	𒁹
ma	342	𒈠
ma₁₀	471	
ma₂	122	𒈣
ma₃	233	𒂷
ma₅	033	𒅡
ma₆	532	𒈨
ma₇	074	𒈦
ma₈	021	𒅿
ma₉	383	𒉿
mad	366	𒆳
madal	371	𒁍
madla	371	𒁍
madlu	371	𒁍
madul	371	
magar	096a	𒁑
magara	096a	𒁑
mah	057	𒈤
mah₂	298	𒀠
mah₃	412	𒌋𒅗
maha	057	𒈤
maha₂	298	𒀠
mahar	449	
mak₀	366	𒆳
makaš	480	𒁹
makaš₂	001	𒀸
makkaš	480	𒁹
makkaš₂	001	𒀸
mal	233	𒂷
mal₂	123	𒋛𒀀
mal₄?	377	
mala	233	𒂷
malga?	278	
malla	371	𒁍
mam	471	𒌋𒌋
mam₂	554	𒊩
man	471	𒌋𒌋
man₂	554	𒊩
mana	471	𒌋𒌋
mangaga?	018x	
mangara	096a	𒁑
mar	307	𒈥
mar₂	437	𒀫
mar₃	597	𒃻
mar₅	144	
mar₆	401	𒄯
mara	307	𒈥
mara₂	437	𒀫
marad	437	𒀫
martu	058	
martum	058	
maru	058	𒌉
mas	074	𒈦
maš	074	𒈦
maṣ	074	𒈦
maš₂	076	𒈧
maš₄	295	𒉺
mašammi	318	𒌑
mašgi?	474	
massa₂	294b	𒁗
maššam	318	𒌑
mat	366	𒆳
maṭ	366	𒆳
mat₂	069	𒁁
mat₃	081	𒄷𒄭
matšammi	318	
me	532	𒈨
me₁₂	172	
me₂	427	𒈪
me₃	098	𒀞
me₄	069	𒁁
me₇	250d	𒃙
me₈	383	𒉿
me₉	497	𒇞
mebulug	132	𒍏
mebulug₃	138	𒁾
med	069	𒁁
megida	125n	𒋰𒋾
megida₂	125v	𒋰𒆲
megidda	125n	𒋰𒋾
megidda₂	125v	𒋰𒆲
meh	057	𒈤
mehida	061	𒈬
mehidi	061	𒈬
mehidu	061	𒈬
mel	212	𒅖
mel₂	016	𒅲
mele₂	016	𒅲
meli₂	016	𒅲
mem	554	𒊩
men	270	𒃞
men₂	532	𒈨
men₃	206	𒁺
men₄	517	𒇙
men₅	471	𒌋𒌋
menari	597	𒃻
menbulug	132	𒍏
menbulug₃	138	𒁾
mer	347	𒂇
mer₂?	399	
mer₃	010	𒄈
mer₄	314	𒋃
mere	347	𒂇
meri₃	010	𒄈
mes	314	𒈩
meṣ	314	
meš₂	532	𒈨
mes₂?	138	
meš₃	314	𒈩
mesa?	314	
mesi	314	𒈩
met	069	𒁁
meṭ	069	𒁁
mez	314	𒈩
meze	426	𒀙
mezeg	317	𒋄
mezem	317	𒋄
mi	427	𒈪
mi₂	554	𒊩
mi₃	532	𒈨
mi₄	270	𒃞
mi₅	383	𒉿
midra	295	𒉺
migir	347	𒂇
migir₂	348	𒂈
mih	057	𒈤
mil	212	𒅖
mili	212	𒅖
mili₂	016	𒅲
milla	212	𒅖
mim	554	𒊩
mim₂?	103v	
mim₃	471	𒌋𒌋
min	570	𒈫
min₂	554	𒊩
min₃	471	𒌋𒌋
min₄	556	𒊩𒌆
min₆	124	𒋰
min₇	270	𒃞
mina	570	𒈫
mina₃	471	𒌋𒌋
minbulug	132	𒍏
mir	347	𒂇
mir₂?	399	
miri	347	𒂇
mis	314	𒈩
miš	314	𒈩
miṣ	314	𒈩
miš₃	296	𒄑
mit	069	𒁁
miṭ	069	𒁁
miti	069	𒁁
mitu	069	𒁁
mizal	226	𒄐
mizeg	317	𒋄
mizem	317	𒋄
mu	061	𒈬
mu₁₀	554	𒊩
mu₁₁	021	𒅿
mu₁₂	081	𒄷𒄭
mu₃	033	𒅡
mu₄	536	𒌆
mu₅	231	𒉌
mu₆	295	𒉺
mu₇	016	𒅲
mu₈	597	𒃻
mu₉	296	𒄑
mua	295	𒉺
muati	295	𒉺
muatu	295	𒉺
mud	081	𒄷𒄭
mud₂	069	𒁁
mud₃	394d	𒉯
mud₅	215	𒋆
mud₇	066c	𒍤𒆸
mudla	371	𒁍
mudlu	371	𒁍
mudra₃	371	𒁍
mudru	295	𒉺
mudru₃	371	𒁍
mudru₄	540	𒁱 / 𒋠𒀸
mudul	371	𒁍
mug	003	𒈮
mug₂	554	𒊩
muga	003	𒈮
muh	412	𒌋𒅗
muh₂	116	𒊚
muh₄	329	𒊨
muhaldim	061	𒈬
muhaldima	061	𒈬
muk	003	𒈮
muk₃	554	𒊩
mul₂	376	𒋼
mul₄	441	𒌌
mulla	371	𒁍
mullil	475	
mullu	371	𒁍
mulu₄	105	𒃷 / 𒃷𒁍
mun₃	094	𒁴
mun₄	331	𒋀
mun₆	415a	𒌋𒁴
munsub	543	𒈰
munšub	543	𒈰
munsub₃	107n	𒄛
munsub₄	327	𒄝
munu₃	246	𒃅
munus	554	𒊩
munuz	554	𒊩
muq	003	𒈮
mur	401	𒄯
mur₁₀	536	𒌆
mur₃	399	𒅎
mur₇	565	𒈱
murga	022x	
murgišur	158	𒂢
murgu₂	565	𒈱
murgu₃	022x	𒅺
murim	399	𒅎
muru	401	𒄯
muru₁₁	185	𒉞
muru₁₂	313	𒆤
muru₃	399	𒅎
muru₄	204b	𒌲
murub	554	𒊩
murub₂	554n	𒊩𒇬
murum	401	𒄯
murum₁₁	185	𒉞
murum₄	204b	𒌲
mus	374	𒈲
muš	374	𒈲
muṣ	374	
muš₂	102	𒈽
muš₃	103v	𒈹
muš₅	331	𒋀
muš₆?	096a	
muš₇	480	𒁹 / 𒌋𒁯
muš₈	078	𒄷
muš₉	427	𒈪
mušda	440	𒁶
mušdam	440	𒁶
mušdama	440	𒁶
mušen	078	𒄷
mušena	078	𒄷
muši	427	𒈪
mušku	103v	𒈹
muššagana	507	𒇚
muššagana₂?	497	
muštu	383	𒉿
muštug	383	𒉿
mušu	427	𒈪
musub	543	𒈰
musub₃	107n	𒄛
musub₄	327	𒄝
musug₅	024x	𒆈
mut	081	𒄷𒄭
muṭ	081	𒄷𒄭
mut₂	069	𒁁
muwa	295	𒉺
muwati	295	𒉺
muya	295	𒉺
muyati	295	𒉺
muz	374	𒈲
na	070	𒈾
na₂	431	𒈿
na₄	229n	𒉌𒌓
na₅	353	𒊭
na₆	330	𒇽
na₇	079	𒉆
na₈	035	𒅘
nab	129	𒀮
nab₄	351	𒅊
nad	366	𒆳
nad₃	431	𒈿
nag	035	𒅘
nag₃	192	
nag₄	191	
naga	165	𒉀
naga₂	035	𒅘
naga₃	192	𒄤
naga₄	191	𒄣
nagal	458	𒇬
nagar	560	𒉄
nagar₃	355	
nagara	560	𒉄
nagiri	020	𒅚
nah	321	𒈛
nak	035	𒅘
nak₂	165	𒉀
nam	079	𒉆
nam₃	433	𒉏
nam₄	351	𒅊
nama	165	𒉀
namma	484	𒇉
nammu	484	𒇉
nan₃	472	𒌍
nanam	385	𒊲
nanam₂	384n	𒊰
nanga₆	165	𒉀
nanše	200v	𒀏
nap	129	𒀮
naq	035	𒅘
nar	355	𒈜
nar₃	325	𒉪
nara	355	
nari	355	𒈜
naš	471	𒈦 / 𒌋𒌋
našše	200v	𒀏
nat	366	𒆳
nat₂	142	𒄿
nata	366	𒆳
nazi	200v	𒀏
ne	172	𒉈
ne₂	231	𒉌
ne₃	444	𒊊
ne₄	552	𒋙𒉈
ne₆	070	𒈾
ne₇	431	𒈿
ne₈	173	𒉋
ned	211	𒍑
neda	383	𒉿
nem	433	𒉏
nen	556	𒊩𒌆
nen₉	556	𒊩𒆪
nenim	385	𒊲
nenna₂	515	𒇧
nenni₂	515	𒇧
neq₂	597	𒃻
ner	325	𒉪
nerah	374	𒈲
nes	471	𒌋𒌋
neš	471	𒌋𒌋
neš₂	296	𒄑
nesag₂	314	𒋃
net	211	𒍑
neṭ	211	𒍑
ni	231	𒉌
ni₁₀	483	𒆸
ni₃	597	𒃻
ni₄?	556	
ni₅	172	𒉈
ni₆	529	𒆸𒆸
ni₇	433	𒉏
ni₈	059	𒇷
ni₉	447a	𒌋𒌓𒆤
nib	131a	𒊋
nid	211	𒍑
nida₂	176	𒉒
nidaba₂	165	𒉀
nig	563	𒊩𒌨
nig₂	597	𒃻
nig₆	447a	𒌋𒌓𒆤
niga	367	𒊺
nigan	367	𒊺
nigar	447a	𒌋𒌓𒆤
nigen	529	
nigen₂	483	
nigen₆	200v	
nigginaku	529	𒆸𒆸
nigi	529	𒆸𒆸
nigi₂	483	𒆸
nigida	480	𒁹
nigidaeš	585c	𒑗
nigidamin	585a	𒑖
nigin	529	𒆸𒆸
nigin₁₁	495a	𒇪
nigin₂	483	𒆸
nigin₃	447a	𒌋𒌓𒆤
nigin₄	447	𒌋𒌓
nigin₆	200v	𒀏
nigir	347	𒂇
nigir₂	348	𒂈
nigru	020	𒅚
nigu	367	𒊺
nik	563	𒊩𒌨
nik₂	597	𒃻
nik₅	035	𒅘
nika	596	𒉾
nim	433	𒉏
nim₂	556	𒊩𒌆
nim₃?	447	
nim₄?	565	
nim₅	597	𒃻
nima	433	𒉏
nimar	447a	
nimbar	356	𒊷
nimen₂	483	𒆸
nimgin₃?	447a	
nimgir	347	𒂇
nimgir₂	348	𒂈
nimin	473	𒐏
nimina	473	𒐏
nin	556	𒊩𒌆
nin₂	103v	𒈹
nin₃	529	𒆸𒆸
nin₄	483	𒆸
nin₅	473	𒐏
nin₆	597	𒃻
nin₉	556	𒊩𒆪
nina	200v	𒀏
nina₂	540	𒁱
nina₃	556	𒊩𒌆
nina₄	473	𒐏
ninda	597	𒃻
ninda₂	176	𒉒
ninda₃	510	𒇌
ninda₄?	528	
nindan	597	𒃻
nindar	123	𒋛𒀀
nindu	528	𒇅
nindu₂	510	𒇌
ningi	215	𒋆
ningi₂	224	𒋇
ningi₃	225	𒋋
ningin₃	447a	𒌋𒌓𒆤
ningin₄	447	𒌋𒌓
nini	529	𒆸𒆸
ninim	385	𒊲
ninindu	528	𒇅
ninindu₂	510	𒇌
ninir	325	𒉪
ninmuš	485	𒇣
ninna₂	515	𒇧
ninni₂	529	𒆸𒆸
ninni₃	597	𒃻
ninni₄	515	𒇧
ninni₆?	103v	
ninni₈	375	𒌁
ninnim₄	515	𒇧
ninnu	475	𒐐
ninta	211	𒍑
ninta₂	050	
nintah	211	𒍑
nintah₂	050	𒀴
nintahu	211	𒍑
niq	563	𒊩𒌨
niq₂	597	𒃻
nir	325	𒉪
nir₆	322	𒆗
nira	325	𒉪
nirah	374	𒈲
nis	471	𒌋𒌋
niš	471	𒌋𒌋
nis₂	296	𒄑
niš₂	296	𒄑
nisaba₂	165	𒉀
nisag₂	314	𒋃
nisku	444	𒊊
niskum	444	𒊊
nit	211	𒍑
niṭ	211	𒍑
nita	211	𒍑
nita₂	050	𒀴
nita₄	597	𒃻
nitah	211	𒍑
nitah₂	050	𒀴
nitahu	211	𒍑
niz	471	𒌋𒌋
nu	075	𒉡
nu₁₀	536	𒆪
nu₁₂	537	𒁳 / 𒇻
nu₁₃	398	𒄴
nu₂	431	𒈿
nu₃	433	𒉏
nu₄	565	𒈝
nu₅	072a	𒆰
nu₆	087	𒉣
nu₇	195	𒀕
nu₈	070	𒈾
nu₉?	059	
nud	431	𒈿
nug	216	𒋐
nug₂	221	𒋊
nuga	191	
nugun	072a	
num	433	𒉏
num₂	565	𒈝
numdu	018v	𒅻
numdum	018v	𒅻
numdun	018v	𒅻
numgišur	158	𒂢
numu	072a	𒆰
numun	072a	𒆰
numun₂	066c	𒍤𒆸
numun₃	398	𒄴
nun	087	𒉣
nun₃	371	𒁍
nuna	087	𒉣
nundu	018v	𒅻
nundum	018v	𒅻
nundun	018v	𒅻
nungi	215	𒋆
nungi₂	224	𒋇
nungi₃	225	𒋋
nunun	087	𒉣
nur	325	𒉪
nura	393	𒂟
nuri	393	𒂟
nurra?	151	
nuru	393	𒂟
nuska	295l	𒉺𒌆
nuška	295l	𒉺𒌆
nuska₂	295m	𒉺𒇻
nuška₂	295m	𒉺𒇻
nusku	295l	𒉺𒌆
nusku₂	295m	𒉺𒇻
nušku₂	295m	𒉺𒇻
nussu	515	𒇧
pa	295	𒉺
pa₁₀	449	𒅆
pa₁₂	383	𒉿
pa₂	005	𒁀
pa₃	450	𒅆𒊒
pa₇?	078	
pa₈	314	𒋃
pa₉	356	𒊷
pad	469	𒉻
pad₂	069	𒁁
pad₃	450	𒅆𒊒
pad₄	449	𒅆
pada	469	𒉻
pag	078	𒄷
pah	355	𒈜
pah₃	078	𒄷
pak	078	𒄷
pal	009	𒁄
pala₄	009	𒁄
pan	439	𒉼
pan₂?	355	
pan₃	449	𒅆
pana	439	𒉼
pansur	041	
panšur	041	𒍎
papa₂	133	𒆍
papnun	482	𒇳
paq	078	𒄷
par	381	𒌓
par₂	074	𒁇
par₄	249	𒆦 / 𒉌𒄑
par₆?	344	
para	381	𒌓
para₁₀	344	𒁈
para₂	074	𒁇
para₅	488b	𒇃
para₆	517	𒇙
para₈	485	𒇣
para₉	502	𒇗
parag	344	𒁈
parim	202	𒉺𒁽
pat	469	𒉻
paṭ	469	𒉻
pat₂	069	𒁁
paṭ₂	069	𒁁
pata	469	𒉻
patru	010	𒄈
pe	383	𒉿
pe₂	214	𒁉
pe₃	069	𒁁
pe₄?	015	
pe₅	172	𒉈
pel	172	𒉈
pel₂	173	𒉋
per	381	𒌓
pes	346	𒄫
peš	346	𒄫
peš₁₁	589	𒄩
peš₁₂	381	𒌓
peš₁₃	384a	𒊴
peš₂	596	𒉾
peš₃	342	𒈠
peš₄	390	𒊯
peš₅	354b	𒆒
peš₇	144	𒌉
pešše	342	𒈠
pet	324	𒂍
pet₂	069	𒁁
pi	383	𒉿
pi₂	214	𒁉
pi₃	069	𒁁
pi₄	015	𒅗
pi₅	172	𒉈
pi₇?	274	
pi₈	371	𒁍
pid	324	𒂍
pid₂	069	𒁁
pih?	355	
pihu₂	394d	𒉯
pik	592	𒋝
pil	172	𒉈
pil₂	173	𒉋
pil₇	444	𒊊
pin	056	𒀳
piq	592	𒋝
pir	381	𒌓
pir₃	400	𒄵
pir₆	079	𒉆
pirig	444	𒊊
pirig₂	381	𒌓
pirig₃	130	𒊌
piriga	444	𒊊
piru?	274	
pis	346	𒄫
piš	346	𒄫
piš₂	596	𒉾
piš₄	390	𒊯
piš₅	354b	𒆒
piša	346	𒄫
pisag	233	𒂷
pisag₂	314	𒋃
pisag₃	317	𒋄
pisan	233	𒂷
pisan₂	314	𒋃
pisan₃	317	𒋄
pit	324	𒂍
piṭ	324	𒂍
pit₂	069	𒁁
pu	371	𒁍
pu₁₁	318	𒌑
pu₂	511	𒇥
pu₃	019	𒅤
pu₅	015	𒅗
pu₆	486	𒇀
puh	355	𒈜
puk	003	𒈮
pul	515	𒇧
pul₂	011	𒁔
pul₃	009	𒁄
pum	019	𒅤
puq₂	078	𒄷
pur	349	𒁓
puru	349	𒁓
pus?	346	
puš₃	346	𒄫
puš₄	595	𒂆
puta	332	𒍠
pute	332	𒍠
puti	332	𒍠
putu	332	𒍠
puzur	411	𒌋
puzur₂	471	𒌋𒌋
puzur₅	019	𒅤
qa	062	𒋡
qa₂	319	𒂵
qa₃	015	𒅗
qa₆	230	𒆕
qab₂	088	𒆏
qab₃	335	𒁕
qad	354	𒋗
qad₃	090	𒃰
qad₆?	063a	
qadma	297	𒄞
qadmu	012	𒋻
qal	343	𒃲
qal₃	049x	𒍇
qal₄	322	𒆗
qam	362	𒃵
qan	143	𒃶
qan₂	085	𒄀
qap₂	088	𒆏
qaptu	445	𒂂
qaq	230	𒆕
qar	333	𒃼
qar₂	376x	𒋼𒀀
qar₃?	597	
qara₃?	597	
qat	354	𒋗
qat₃	090	𒃰
qaṭ₃	090	𒃰
qat₅	354b	𒆒
qat₆?	063a	
qat₇?	063c	
qata	354	𒋗
qe	538	𒆥
qe₂	461	𒆠
qe₃	085	𒄀
qe₄	326	𒄄
qel	483	𒆸
qer	346	𒄫
qer₃	483	𒆸
qer₅	333	𒃼
qet	313	
qi	538	𒆥
qi₂	461	𒆠
qi₃	085	𒄀
qi₄	326	𒄄
qi₅	313	𒆤
qi₆	230	𒆕
qid	313	𒆤
qid₂	371	𒁍
qid₄?	090	
qil	483	𒆸
qil₂	067	𒄃
qili₂?	067	
qim	440	𒁶
qimku	573	𒑜
qin	538	𒆥
qiq	446	𒈪𒉭
qir	346	𒄫
qir₃	483	𒆸
qir₆	423	𒀘
qir₇	444	𒄊
qiri	346	𒄫
qis	425	𒆧
qiš	425	𒆧
qišat	375	𒌁
qit	313	𒆤
qit₂	371	𒁍
qit₃	069	𒁁
qu	191	𒄣
qu₂	536	𒆪
qu₃	559	𒄖
qu₅	468	𒆬
qu₆	106	𒄘
qub	206	𒁺
qud	012	𒋻
qudma	012	𒋻
qudmu	012	𒋻
qul	072a	𒆰
qul₂	429	𒄢
qum	191	𒄣
qum₂	172	𒉈
qum₃	565	𒈝
qun	077	𒆲
qup	206	𒁺
qup₂?	089	
qur	111	𒄥
qur₂	366	𒆳
qur₃?	362	
qur₈	058	
qur₉	483	
quru	111	𒄥
qut	012	𒋻
qutu	012	𒋻
ra	328	𒊏
ra₂	206	𒁺
ra₃	381	𒌓
ra₄	083	𒋥
ra₅?	371	
rab	149	𒊐
rab₂	343	𒃲
rab₃	151	𒈗
rab₄?	322	
raba	149	𒊐
rabita	168	𒂔
rad	083	𒋥
rag	554	𒊩
rah	321	𒈛
rah₂	328	𒊏
rak	554	𒊩
ram	183	𒉘
ram₀	564	𒂖
ram₂	001	𒀸
rama	183	𒉘
raman	366	𒆳
ramanu	366	𒆳
rammanu	366	𒆳
rap	149	𒊐
rapiku	282a	𒁩
rapikum	282a	
rapiqu	282a	𒁩
raq	554	𒊩
ras	166	𒆜
raš	166	𒆜
raš₂	574	𒌇
rašu	366	𒆳
rat	083	𒋥
raṭ	083	𒋥
rata	083	𒋥
razu	366	𒆳
re	086	𒊑
reʾe	295m	𒉺𒇻
reʾi	295m	𒉺𒇻
re₁₂?	230	
re₂	038	𒌷
re₃	483	𒆸
re₆	206	𒁺
re₇	206a	𒁻
reb	322	𒆗
red	314	𒈩
reg	215	𒋆
rek	215	𒋆
rem	483	𒆸
rem₂	420	𒀖
reme	483	𒆸
reme₂	420	𒀖
rep	322	
req	215	𒋆
res	115	𒊕
reš	115	𒊕
ret	314	𒈩
ri	086	𒊑
ri₁₀?	168	
ri₁₂?	230	
ri₂	038	𒌷
ri₃	483	𒆸
ri₄	555	𒍮
ri₅	325	𒉪
ri₆	206	𒁺
ri₇	206a	𒁻
rib	322	𒆗
rid	314	𒈩
rig	215	𒋆
rig₂	555	𒍮
rig₂?	555	𒍮
rig₅	086	𒊑
rih	321	𒈛
rik	215	𒋆
rik₂	555	𒍮
rik₄	008	𒊿
rim	483	𒆸
rim₂	420	𒀖
rim₄	202	𒁽
rim₅	001	𒀸
rimu₂	420	𒀖
rin	483	𒆸
rin₂	393	𒂟
rin₃	529	𒆸𒆸
rin₆	166	𒆜
rina₂	393	𒂟
rip	322	𒆗
riq	215	𒋆
riq₂	555	𒍮
ris	115	𒊕
riš	115	𒊕
rit	314	𒈩
riṭ	314	𒈩
rit₂	083	𒋥
ru	068	𒊒
ru₁₀	058	𒋽
ru₁₁	043v	𒌾
ru₁₂	099	𒂗
ru₁₃	054v	𒂙
ru₂	230	𒆕
ru₃	001	𒀸
ru₄	043	𒍍
ru₅	441	𒌌
ru₆	168	𒂔
ru₇	575	𒌨
ru₈	141	𒋭
ru₉	038	𒌷
rub	322	𒆗
rud	083	𒋥
rug	008	𒊿
ruh	321	𒈛
ruh₂	330	𒇽
ruk	008	𒊿
rum	001	𒀸
rum₃?	433	
ruq	008	𒊿
ruqu	008	𒊿
ruš?	402	
rušban	297	𒄞
rušpan	297	𒄞
ruṭ	083	𒋥
sa	104	𒊓
ša	353	𒊭
ṣa	586	𒍝
ša₁₀	104	𒊓
sa₁₁	113	𒋜
ša₁₁	330	𒇽
sa₁₂	115	𒊕
ša₁₂	554	𒊩
sa₁₃	454	𒅆𒂟
ša₁₃	233	𒂷
sa₁₄	322	𒆗
sa₁₅?	597	
ša₁₅?	454	
sa₁₆	381	𒌓
sa₁₇	551	𒋙𒉀
ša₁₇	455	𒅇
sa₁₈	214	𒁉
ša₁₈	457	𒁲
sa₁₉	384	𒊮
sa₂	457	𒁲
ša₂	597	𒃻
sa₂₀	353	𒊭
sa₂₁	551v	𒊾
ša₂₁	214	𒁉
ša₂₂	082	𒄷𒈿
ša₂₃	344	𒁈
ša₂₄	115	𒊕
ša₂₆	389	
sa₃	586	𒍝
ša₃	384	𒊮
ṣa₃	013	𒀭
sa₄	082	𒄷𒈿
ša₄	206	𒁺
sa₅	123	𒋛𒀀
sa₆	356	𒊷
ša₆	356	𒊷
sa₇	351	𒅊
sa₈	013	𒀭
sa₉	074	𒈦
ša₉	191	𒄣
sab	295k	𒉺𒅁
šab	295k	𒉺𒅁
ṣab	393	𒂟 / 𒂟
šab₂	384	𒊮
šab₄	532	𒈨
šab₅	295m	𒉺𒇻
saba	295k	
šaba	295k	𒉺𒅁
sabad	264	𒃪
sabad₂	242	𒂿
sabad₃	260	𒃖
šabalbal	072a	𒆰
sabar₂	551v	
šabu	375	𒌁
sad	366	𒆳
šad	366	𒆳
sad₂	264	𒃪
šad₂?	061	
sad₃	242	𒂿
sad₄	260	𒃖
šada	366	𒆳
šadi	366	𒆳
šadu	366	𒆳
sag	115	𒊕
šag	115	𒊕
sag₁₀	454	𒅆𒂟
sag₁₁	538	𒆥
sag₁₂	351	𒅊
sag₁₃	367	
sag₃	295	𒉺
šag₃	295	𒉺
sag₄	151	𒈗
šag₄	384	𒊮
sag₅	314	𒉠
šag₅	356	𒊷
šag₆?	592	
sag₇	143	𒃶
sag₈	322	𒆗
sag₉	356	𒊷
saga	115	𒊕
saga₁₀	454	
saga₁₁	538	𒆥
šaga₂	219	
saga₇	143	
saga₈	314	
šagan	428	𒌋𒃶
šagan₂	208	
šagar	036	𒅥
sagbar	401	𒄯
sagdudu	497	𒇞
sagdul	419	𒌋𒊕
sagga	314	𒋃
saggar	115	𒊕
saggar₂	401	𒄯
sagkurini	352	
sagkurini?	352	
sagšu	419	𒌋𒊕
sagtag	001	𒀸
sagtag₃	360	𒀹
sagtak	001	𒀸
sagtak₃	360	𒀹
sagtak₄	480	
sah	313	𒆤
šah	053	𒋚
ṣah	172	𒉈
šah₂	467	𒂄
ṣah₂	313	𒆤
sah₂?	053	
šah₃	313	𒆤
sah₃?	467	
sah₄	569	𒄗
saha	053	
šaha	053	𒋚
šaha₂	467	
šahan	366	𒆳
sahan?	374	
šahan₂?	374	
šahan₃	467	𒂄
sahar	212	𒅖
sahardub	212	𒅖
sak	115	𒊕
šak	115	𒊕
ṣak	332	𒍠
sak₃	295	𒉺
sak₆	332	𒍠
šak₆?	592	
šak₇	144	𒌉
saka	538	
šakan	428	𒌋𒃶
šakan₂	444	𒄊
šakan₃	208	𒀲
šakan₅	394e	𒉮
šakir	046	𒍀
šakir₃	042	𒌼
šakira	046	𒍀
šakira₃	042	𒌼
šakiri	046	𒍀
sakkan	444	𒄊
šakkan	428	
šakkan₂	444	𒄊
šakkan₇	237	𒂼
sal	554	𒊩
šal	554	𒊩
ṣal	231	𒉌
sal₂	457	𒁲
šal₂	062	𒋡
sal₃	231	𒉌
šal₃	231	𒉌
sal₄	062	𒋡
sala	554	𒊩
sala₄	062	𒋡
salagud	457	𒁲
salah	381	𒌓
ṣalam	329	
šalambi	384	𒊮
salgud	457	𒁲
salim	457	𒁲
salubug₂	480	𒁹
salugub	001	𒀸
salugub₂	480	𒁹
sam	318	𒌑
šam	318	𒌑
šam₄	079	𒉆
samag	138	𒁾 / 𒌝
samag₃	135a	𒌡
samag₆	351	𒅊
šaman₂	428	𒌋𒃶
saman₄	428	𒌋𒃶
saman₅	394e	𒉮
šamaš	381	𒌓
šamaš₂	471	𒌋𒌋
san	115	𒊕
san₂	008	𒊿
šan₂	126	𒋳
šanaba	572	𒑛
šanabaku₂	473	𒐏
šanabi	572	𒑛
šanabi₂	473	𒐏
šanapi	572	𒑛
sandak₄	480	𒁹
šandilimma	110	𒆯
sanga	314	𒋃
šanga	314	𒋃
sangu	314	𒋃
santa	001	𒀸
santa₃	360	𒀹
santa₄	480	𒁹
santag	001	𒀸
šantag	480	𒁹
santag₃	360	𒀹
santag₄	480	𒁹
santak	001	𒀸
šantak	480	𒁹
santak₃	360	𒀹
santak₄	480	𒁹
sap	295k	𒉺𒅁
šap	295k	𒉺𒅁
ṣap	393	𒂟
sap₂	393	𒂟
sap₃	295m	𒉺𒇻
šap₅	295m	𒉺𒇻
ṣapa	393	𒂟
saq	115	𒊕
šaq	115	𒊕
šaqa₂	219	𒋏
šaqu₂	219	𒋏
šaqu₃?	191	
ṣar	491	𒇡
šarʾu	409	𒄶
sar₂	396	𒊹
šar₂	396	𒊹
ṣar₂	437	𒀫
sar₃	231	𒉌
šar₃	151	𒈗
ṣar₃	374	
sar₄	373	𒋤
šar₄	471	𒌋𒌋
sar₅	103v	𒈹
šar₅	399	𒅎
sar₆	491	𒇡
šar₆	344	𒁈
sar₇	355	𒈜
šar₇	012	𒋻
sar₈	164	𒋧
šar₈	231	𒉌
šar₉	172	
šara	344	𒁈
ṣara	491	𒇡
sara₂	396	𒊹
šara₃	485	𒇣
šara₄	493	𒇆
šara₅	399	𒅎
šara₆	396	𒊹
šara₉	381	
šarag	381	𒌓
šaran	292	𒁙
šaran₂	290	𒁬
šardiš?	409e	
sare₂	396	𒊹
sargad	407	𒄲
šargad	407	𒄲
šargadu	407	𒄲
šargal	396	𒊹
šargaldiš	408	𒐲
šargalmin	408v	𒐳
šargeš	409e	
šarin	290	𒁬
šarra	151	𒈗
šarru	151	𒈗 / 𒈗
šarru₂	471	𒌋𒌋
šarrum	151	𒈗
šaru	409	𒄶
šas	331	𒋀
šaš	331	𒋀
šaṣ	331	𒋀
šaški	371	𒁍
šašku	371	𒁍
sat	366	𒆳
šat	366	𒆳
šaṭ	366	𒆳
sata	366	𒆳
šata	366	𒆳
šatam	355	𒈜
šaṭam	355	𒈜
šattam	355	𒈜
šaz	331	
se	112	𒋛
še	367	𒊺
ṣe	147	𒍢
še₁₀	536	𒆪
se₁₁	592	𒋝
še₁₁	355	𒈜
se₁₂	351	𒅊
še₁₃	206	𒁺
še₁₄	314	𒋃
še₁₅	375	𒌁
še₁₆	331	𒋀
še₁₉	164	𒋧
se₂	084	𒍣
še₂	112	𒋛
ṣe₂	084	𒍣
se₂₀	147	𒍢
še₂₀?	449	
še₂₁	082	𒄷𒈿
še₂₂	541	𒂞
še₂₃	103v	𒈹
še₂₄	102	𒈽
še₂₅	024	𒆂
še₂₆	025b	𒅝
se₂₇	103v	𒈹
še₂₇	567	𒋞
se₂₈	102	𒈽
še₂₈?	015	
se₃	164	𒋧
se₃₀	355	
še₆	172	𒉈
se₈	457	𒁲
še₈	544	𒋁
še₉	546	𒋙𒀭
šeb	532	𒈨
