الاسم اللاتيني	رقم التسلسل	العلامة المسمارية
bur₂	011	𒁔
bur₃	411	𒌋
bur₆	249	𒆤 / 𒆦
bur₇	310	𒄧
bur₈	002	𒄬
buru	349	𒁓
buru₁₄	054v	𒂙
buru₁₆	491	𒇡
buru₁₇	530	
buru₂	011	𒁔
buru₃	411	𒌋
buru₆	313	𒆤
buru₇	310	𒄧
buru₈	002	𒄬
buru₉	227	𒅃
buruh	002	𒄬
buš	166	𒆜
buš₂	346	𒄫
bute	332	𒍠
buti	332	𒍠
butu	332	𒍠
buzur	411	𒌋
buzur₂	471	𒌋𒌋
buzur₅	019	𒅤
d	013	𒀭
da	335	𒁕
da₁₀	396	𒄭
da₁₁?	080	
da₁₂	015	𒅗
da₁₃	063d	𒋺
da₂	139	𒋫
da₃	230	𒆕
da₄	557	𒁮
da₅	132	𒍏
da₆	126	𒋳
da₇	381	𒌓
dab	537	𒁳
dab₂	124	𒋰
dab₃	396	𒄭
dab₄	138	𒁾
dab₅	536	𒆪
dab₆	132	𒍏
daba	537	𒁳
daba₅	536	𒆪
daban	110	𒆯
dabašin	110	𒆯
dabe	537	𒁳
dad	063d	𒋺
dag₂	381	𒌓
dag₄?	249	
dag₅	015	𒅗
dagal	237	𒂼
dagala	237	𒂼
dagrim	513	𒇑
dagrin	513	𒇑
dah	169	𒈭
dal	086	𒊑
dal₃	001	𒀸
dala	086	𒊑
dalhamun₄	165a	𒀱
dalhamun₅	165v	𒀰
dam	557	𒁮
dam₀	564	𒂖
dam₂	381	𒌓
dam₃	207	𒌈
dama	557	𒁮
damal	237	𒂼
damu	144	𒌉
damu₂	449	𒅆
dan	322	𒆗
dan₂	270	𒃞
dan₃	241	𒃩
dan₄	248	𒃋
dan₅?	465	
dan₆	211n	𒍕
dan₇	259n	𒃃
dana₂	166	𒆜
dana₃	322	𒆗
danna₂	166	𒆜
dap	537	𒁳
dap₂	124	𒋰
dapa₂	124	𒋰
dapar	297	𒄞
dapara	297	𒄞
daq₆	126	𒋳
dar	113	𒁯
dar₂	535	𒅁
dar₄	540	𒁱
dar₆	012	𒋻
dara₂	535	𒅁
dara₄	540	𒁱
dara₆	113	
dari₂	535	𒅁
daru₂	535	𒅁
darum₂	535	𒅁
das	575	𒌨
daš	575	𒌨
daš₂	480	𒁹
daš₃	339	𒀾
daš₄?	113	
dašgari	536	
dat	063d	𒋺
de	457	𒁲
de₁₀	144	
de₃	172	𒉈
de₄	376	𒋼
de₅	086	𒊑
de₆	206	𒁺
deb	537	𒁳
deb₂	536	𒆪
deh	138	𒁾
deh₂	134	𒌝
deh₃	433	𒉏
dehi	138	𒁾
dehi₂	134	𒌝
dehi₃	433	𒉏
del	001	𒀸
del₂	377	𒇺
del₄	360	𒀹
dele	001	𒀸
dele₄	360	𒀹
delen	510	𒇌
delen₃	528	𒇅
delena	510	𒇌
delena₃	528	𒇅
deli	001	𒀸
dellu	122a	𒈣𒈮
dem₂	440	𒁶
den	465	𒁷
der	013	𒀭
dergul	122a	𒈣𒈮
deš	480	𒁹
deš₂	001	𒀸
deš₃	575	𒌨
deš₄?	532	
deš₅	360	𒀹
deššu	339	𒀾
di	457	𒁲
di₁₁	094	𒁴
di₁₂	376	𒋼
di₄	144	𒌉
di₅	086	𒊑
di₆	206	𒁺
di₇	172	𒉈
dib	537	𒁳
dib₂	536	𒆪
dib₅	493	𒇆
dibi	537	𒁳
dibur	013	𒀭
did?	399	
didala?	384	
dig	231	𒉌
digi	231	𒉌
digir	013	𒀭
dih	138	𒁾
dih₂	134	𒌝
dih₃	433	𒉏
dihi	069	𒁁
dihi₂	134	𒌝
dihi₃	433	𒉏
dik	231	𒉌
dil	001	𒀸
dil₂	329	
dil₄	360	𒀹
dili	001	𒀸
dili₂	377	𒇺
dili₄	360	𒀹
dilib	314	𒋃
dilib₂	024	𒆂
dilib₃	117	𒊠
dilib₄	115n	𒊞
dilib₅	116n	𒊦
dilib₆	120	𒊟
dilim₂	377	𒇺
dilim₃	510	𒇌
dilim₅	528	𒇅
dilin	510	𒇌
dilin₃	528	𒇅
dilina	510	𒇌
dilina₃	528	𒇅
dilu	122a	𒈣𒈮
dilur	122a	𒈣𒈮
dim	094	𒁴
dim₁₂	314	𒋃
dim₁₃	371	𒁍
dim₂	440	𒁶
dim₅	352	𒂀
dim₇	069	𒁁
dima₂	440	𒁶
dimer	013	𒀭
dimgul	122a	𒈣𒈮
dimir	013	𒀭
dimmer	013	𒀭
dimna	443	𒌋𒂵
din	465	𒁷
diner	013	𒀭
dingir	013	𒀭
dingira	013	𒀭
dini	465	𒁷
dinir	013	𒀭
dip	537	𒁳
dipar	297	𒄞
diq	231	𒉌
dir	123	𒋛𒀀
dir₂	113	𒁯
dir₃	013	𒀭
dir₄	375	𒌁
dirgul	122a	𒈣𒈮
diri	123	𒋛𒀀
diri₂?	535	
dirig	123	𒋛𒀀
diš	480	𒁹
diš₂	001	𒀸
diš₄?	532	
diša	480	𒁹
disgur	438	𒀬
du	206	𒁺
du₁₀	396	𒄭
du₁₁	015	𒅗
du₁₂	574	𒌇
du₁₃	144	𒌉
du₁₆	052	𒌗
du₁₇?	172	
du₂	058	𒌅
du₂₀	335	𒁕
du₂₄	467	𒂄
du₂₆	123	𒋛𒀀
du₃	230	𒆕
du₄	207	𒌈
du₅	595	𒂅
du₆	459a	𒇯
du₇	441	𒌌
du₈	167	𒃮
du₉	011	𒁔
dub	138	𒁾
dub₂	352	𒂀
dub₃	396	𒄭
duba	138	𒁾
duba₂	352	𒂀
dubal	299n	𒀥
dubal₂	303	𒀦
dubba	138	𒁳 / 𒁾
dubsig	320	
dubsik	320	𒅍
dubu	138	𒁾
dubu₂	352	𒂀
dubur	400	𒄵
dud₂	058	𒌅
dug	309	𒂁
dug₃	396	𒄭
dug₄	015	𒅗
dug₅	595	𒂅
duga₃	398	𒄴
duga₄	015	𒅗
dugu	396	𒄭
dugud	445	𒂂
dugud₂?	427	
duguda	445	𒂂
duh	167	𒂃 / 𒃮
duk	309	𒂁
duk₂	574	𒌇
duka	309	𒂁
dul	459	𒌋𒌆
dul₁₀	371	𒁍
dul₂	511	𒇥
dul₃	329	𒊨
dul₄	348	𒂈
dul₅	536	𒌆
dul₆	459a	𒇯
dul₇	115	𒊕
dul₈	537	𒁳
dul₉	575b	𒌪
dum	207	𒌈
dum₃?	557	
dum₄	094	𒁴
dumgal	224	𒋇
dumu	144	𒌉
dun	467	𒂄
dun₃	595	𒂅
dun₄	348	𒂈
dun₅	011	𒁔
dun₆	322	𒆗
duna	467	𒂄
dunga	115	𒊕
dunga₂	355	𒈜
dup	138	𒁾
dup₂	352	𒂀
dupsik	320	𒅍
duq	309	𒂁
dur	108	𒄙
dur₁₀	008	𒊿
dur₁₁	058	𒌅
dur₆	295	𒉺
dur₇?	371	
dur₉	467	𒂄
durah₂	540	
durba	146	𒈢
durgul	122a	𒈣𒈮
duru₆?	295	
duru₉	467	𒂄
duruna₂	510	𒇌
duruna₄	528	𒇅
duš	536	𒆪
duš₂	480	𒁹
dusi	320	𒅍
dussu	320	𒅍
dusu	320	𒅍
e	308	𒂊
eʾ	397	𒀪
eʾ₂?	398	
eʾ₃	324	𒂍
eʾella	272	𒃈
e₁₀	560	𒉄
e₁₃?	556	
e₂	324	𒂍
e₅	556	𒊩𒌆
e₇	015	𒅗
e₈	381	𒌓
eazag?	269	
eb	535	𒅁
eb₂	207	𒌈
ebir	309	𒂁
ebir₄	319	𒂵
ebur	054v	𒂙
ed	334	𒀉
eden	168	𒂔
edena	168	𒂔
edi	268	𒃄
edim?	069	
edin	168	𒂔
edina	168	𒂔
edur	583	𒀁
eduru	583	𒀁
eg	080	𒅅
eg₂	308	𒂊
eg₃	183	𒉘
egara	278	𒃌
eger	209	𒂕
eger₄	207	𒌈
eger₅?	565	𒈝
eger₆?	567	
egera	209	𒂕
egia	256	𒃎
egir	209	𒂕
egir₄	207	𒌈
egir₅?	565	𒈝
